instance-name,bp-accuracy-mfe,bp-accuracy-constraint,seq-id,dataset,fam-id,context-len,Asymmetric,energy-param,instance-name
C0-RF00023-S67602.1/1-410,0.456863618351,0.479193252103,S67602.1/1-410,genome,RF00023,0,False,turner,C0-RF00023-S67602.1/1-410
C0-RF00023-BA000008.3/138204-137780,0.431933867134,0.518458786189,BA000008.3/138204-137780,genome,RF00023,0,False,turner,C0-RF00023-BA000008.3/138204-137780
C0-RF00023-AAVS01000044.1/16524-16879,0.337432780193,0.337028889039,AAVS01000044.1/16524-16879,genome,RF00023,0,False,turner,C0-RF00023-AAVS01000044.1/16524-16879
C0-RF00023-BX571965.1/3041943-3042311,0.535589255752,0.48265782826,BX571965.1/3041943-3042311,genome,RF00023,0,False,turner,C0-RF00023-BX571965.1/3041943-3042311
C0-RF00023-AAJR01000033.1/11579-11927,0.475249435484,0.57666090978,AAJR01000033.1/11579-11927,genome,RF00023,0,False,turner,C0-RF00023-AAJR01000033.1/11579-11927
C0-RF00023-AE016827.1/1128104-1128469,0.214807318722,0.274462763041,AE016827.1/1128104-1128469,genome,RF00023,0,False,turner,C0-RF00023-AE016827.1/1128104-1128469
C0-RF00023-Z67753.1/95843-96212,0.372849494402,0.55875806909,Z67753.1/95843-96212,genome,RF00023,0,False,turner,C0-RF00023-Z67753.1/95843-96212
C0-RF00023-CP000058.1/4804338-4804724,0.550057245411,0.54603348501,CP000058.1/4804338-4804724,genome,RF00023,0,False,turner,C0-RF00023-CP000058.1/4804338-4804724
C0-RF00023-CP000016.1/678009-678399,0.547792134466,0.628834309056,CP000016.1/678009-678399,genome,RF00023,0,False,turner,C0-RF00023-CP000016.1/678009-678399
C0-RF00023-CP000033.3/728512-728879,0.487479701095,0.660865614224,CP000033.3/728512-728879,genome,RF00023,0,False,turner,C0-RF00023-CP000033.3/728512-728879
C0-RF00023-BA000022.2/3317157-3316760,0.178646815736,0.183117506023,BA000022.2/3317157-3316760,genome,RF00023,0,False,turner,C0-RF00023-BA000022.2/3317157-3316760
C0-RF00023-CP000713.1/2029442-2029798,0.408319349046,0.440752753086,CP000713.1/2029442-2029798,genome,RF00023,0,False,turner,C0-RF00023-CP000713.1/2029442-2029798
C0-RF00023-CP000284.1/1198789-1199148,0.505970212276,0.417465439149,CP000284.1/1198789-1199148,genome,RF00023,0,False,turner,C0-RF00023-CP000284.1/1198789-1199148
C0-RF00023-AP008232.1/3071644-3072026,0.523165588913,0.586316417143,AP008232.1/3071644-3072026,genome,RF00023,0,False,turner,C0-RF00023-AP008232.1/3071644-3072026
C0-RF00023-BX571661.1/326505-326872,0.526215712267,0.654314933381,BX571661.1/326505-326872,genome,RF00023,0,False,turner,C0-RF00023-BX571661.1/326505-326872
C0-RF00023-CP000026.1/2661750-2662111,0.456815995557,0.428625350056,CP000026.1/2661750-2662111,genome,RF00023,0,False,turner,C0-RF00023-CP000026.1/2661750-2662111
C0-RF00023-CP000521.1/1055795-1056153,0.440117351837,0.433177993232,CP000521.1/1055795-1056153,genome,RF00023,0,False,turner,C0-RF00023-CP000521.1/1055795-1056153
C0-RF00023-AE016828.2/1259243-1259601,0.624852013275,0.546748856458,AE016828.2/1259243-1259601,genome,RF00023,0,False,turner,C0-RF00023-AE016828.2/1259243-1259601
C0-RF00023-CP000387.1/805658-806005,0.479659053093,0.527732367151,CP000387.1/805658-806005,genome,RF00023,0,False,turner,C0-RF00023-CP000387.1/805658-806005
C0-RF00023-AAAM03000014.1/13286-13639,0.251532798509,0.227065538043,AAAM03000014.1/13286-13639,genome,RF00023,0,False,turner,C0-RF00023-AAAM03000014.1/13286-13639
C0-RF00023-AB003477.1/1390-1782,0.353751786263,0.294654794556,AB003477.1/1390-1782,genome,RF00023,0,False,turner,C0-RF00023-AB003477.1/1390-1782
C0-RF00023-CP000076.1/938686-938294,0.565233627166,0.60043924505,CP000076.1/938686-938294,genome,RF00023,0,False,turner,C0-RF00023-CP000076.1/938686-938294
C0-RF00023-BA000030.3/6202757-6203144,0.677842583363,0.788321085313,BA000030.3/6202757-6203144,genome,RF00023,0,False,turner,C0-RF00023-BA000030.3/6202757-6203144
C0-RF00023-BX842656.1/106010-105666,0.450721544649,0.349210928771,BX842656.1/106010-105666,genome,RF00023,0,False,turner,C0-RF00023-BX842656.1/106010-105666
C0-RF00023-AY911524.1/1-315,0.670297230206,0.702480928948,AY911524.1/1-315,genome,RF00023,0,False,turner,C0-RF00023-AY911524.1/1-315
C0-RF00023-CU207211.1/2558343-2558705,0.365885359807,0.402817084255,CU207211.1/2558343-2558705,genome,RF00023,0,False,turner,C0-RF00023-CU207211.1/2558343-2558705
C0-RF00023-BA000031.2/674768-674402,0.455130683444,0.452312342431,BA000031.2/674768-674402,genome,RF00023,0,False,turner,C0-RF00023-BA000031.2/674768-674402
C0-RF00023-BX950851.1/927307-926946,0.578686581859,0.617211906507,BX950851.1/927307-926946,genome,RF00023,0,False,turner,C0-RF00023-BX950851.1/927307-926946
C0-RF00023-AE006470.1/660570-660972,0.434123657411,0.472330266926,AE006470.1/660570-660972,genome,RF00023,0,False,turner,C0-RF00023-AE006470.1/660570-660972
C0-RF00023-AE017333.1/3469521-3469167,0.614829652817,0.736003299825,AE017333.1/3469521-3469167,genome,RF00023,0,False,turner,C0-RF00023-AE017333.1/3469521-3469167
C0-RF00023-AF222894.1/688884-688473,0.275000680808,0.351902358348,AF222894.1/688884-688473,genome,RF00023,0,False,turner,C0-RF00023-AF222894.1/688884-688473
C0-RF00023-AP006628.2/762465-762886,0.560423602378,0.458647116314,AP006628.2/762465-762886,genome,RF00023,0,False,turner,C0-RF00023-AP006628.2/762465-762886
C0-RF00023-AY846304.1/1-321,0.498764398122,0.5434958052,AY846304.1/1-321,genome,RF00023,0,False,turner,C0-RF00023-AY846304.1/1-321
C0-RF00023-ABCH01000022.1/38108-38473,0.502775423631,0.544600758712,ABCH01000022.1/38108-38473,genome,RF00023,0,False,turner,C0-RF00023-ABCH01000022.1/38108-38473
C0-RF00023-CP000416.1/1289472-1289842,0.648690475491,0.789762272333,CP000416.1/1289472-1289842,genome,RF00023,0,False,turner,C0-RF00023-CP000416.1/1289472-1289842
C0-RF00023-AAAK03000041.1/17554-17919,0.826587796729,0.826277491967,AAAK03000041.1/17554-17919,genome,RF00023,0,False,turner,C0-RF00023-AAAK03000041.1/17554-17919
C0-RF00023-ABDY01000007.1/7483-7842,0.621627985078,0.623252009637,ABDY01000007.1/7483-7842,genome,RF00023,0,False,turner,C0-RF00023-ABDY01000007.1/7483-7842
C0-RF00023-CP000712.1/5154291-5154681,0.300217761746,0.387328308083,CP000712.1/5154291-5154681,genome,RF00023,0,False,turner,C0-RF00023-CP000712.1/5154291-5154681
C0-RF00023-BA000004.3/3652617-3652258,0.446726753998,0.443702712821,BA000004.3/3652617-3652258,genome,RF00023,0,False,turner,C0-RF00023-BA000004.3/3652617-3652258
C0-RF00023-BX571856.1/883681-884041,0.56793064877,0.600851444632,BX571856.1/883681-884041,genome,RF00023,0,False,turner,C0-RF00023-BX571856.1/883681-884041
C0-RF00023-AAWL01000007.1/971-1319,0.538021759909,0.689098203967,AAWL01000007.1/971-1319,genome,RF00023,0,False,turner,C0-RF00023-AAWL01000007.1/971-1319
C0-RF00023-AE008923.1/1746069-1745674,0.411837885178,0.477904258653,AE008923.1/1746069-1745674,genome,RF00023,0,False,turner,C0-RF00023-AE008923.1/1746069-1745674
C0-RF00023-CP000480.1/2169257-2169624,0.368520087121,0.280685571186,CP000480.1/2169257-2169624,genome,RF00023,0,False,turner,C0-RF00023-CP000480.1/2169257-2169624
C0-RF00023-AADP01000001.1/1018447-1018811,0.299069795721,0.255522649182,AADP01000001.1/1018447-1018811,genome,RF00023,0,False,turner,C0-RF00023-AADP01000001.1/1018447-1018811
C0-RF00023-BA000021.3/122211-122574,0.545564003014,0.677592402065,BA000021.3/122211-122574,genome,RF00023,0,False,turner,C0-RF00023-BA000021.3/122211-122574
C0-RF00023-AP006841.1/1350686-1351082,0.261486197685,0.293495461701,AP006841.1/1350686-1351082,genome,RF00023,0,False,turner,C0-RF00023-AP006841.1/1350686-1351082
C0-RF00023-AE017263.1/242816-242410,0.859726207055,0.726760123301,AE017263.1/242816-242410,genome,RF00023,0,False,turner,C0-RF00023-AE017263.1/242816-242410
C0-RF00023-CP000478.1/4622994-4623346,0.420277368301,0.4401268555,CP000478.1/4622994-4623346,genome,RF00023,0,False,turner,C0-RF00023-CP000478.1/4622994-4623346
C0-RF00023-CP000920.1/802094-802440,0.347589452395,0.294463368603,CP000920.1/802094-802440,genome,RF00023,0,False,turner,C0-RF00023-CP000920.1/802094-802440
C0-RF00023-AF242564.1/6545-6928,0.251072838644,0.217950247592,AF242564.1/6545-6928,genome,RF00023,0,False,turner,C0-RF00023-AF242564.1/6545-6928
