instance-name,bp-accuracy-mfe,bp-accuracy-constraint,seq-id,dataset,fam-id,context-len,Asymmetric,energy-param,instance-name
C200-RF00023-AE004439.1/906024-905659,0.352487199648,0.372763104068,AE004439.1/906024-905659,genome,RF00023,200,True,turner,C200-RF00023-AE004439.1/906024-905659
C200-RF00023-AY129337.1/100059-100494,0.203119045335,0.131543487402,AY129337.1/100059-100494,genome,RF00023,200,True,turner,C200-RF00023-AY129337.1/100059-100494
C200-RF00023-AP006841.1/1350686-1351082,0.253285569882,0.288475591556,AP006841.1/1350686-1351082,genome,RF00023,200,True,turner,C200-RF00023-AP006841.1/1350686-1351082
C200-RF00023-CP000712.1/5154291-5154681,0.119769905466,0.0422732374161,CP000712.1/5154291-5154681,genome,RF00023,200,True,turner,C200-RF00023-CP000712.1/5154291-5154681
C200-RF00023-AE000512.1/531684-532038,0.757688635552,0.794672578967,AE000512.1/531684-532038,genome,RF00023,200,True,turner,C200-RF00023-AE000512.1/531684-532038
C200-RF00023-AB003477.1/1390-1782,0.3536441886,0.294456266914,AB003477.1/1390-1782,genome,RF00023,200,True,turner,C200-RF00023-AB003477.1/1390-1782
C200-RF00023-CP000546.1/978037-978405,0.441027230662,0.293519152694,CP000546.1/978037-978405,genome,RF00023,200,True,turner,C200-RF00023-CP000546.1/978037-978405
C200-RF00023-BA000022.2/3317157-3316760,0.136722502332,0.118690208163,BA000022.2/3317157-3316760,genome,RF00023,200,True,turner,C200-RF00023-BA000022.2/3317157-3316760
C200-RF00023-AB002583.1/13544-13310,0.567747323127,0.72785586243,AB002583.1/13544-13310,genome,RF00023,200,True,turner,C200-RF00023-AB002583.1/13544-13310
C200-RF00023-CP000148.1/1848574-1848928,0.304956345167,0.259578684928,CP000148.1/1848574-1848928,genome,RF00023,200,True,turner,C200-RF00023-CP000148.1/1848574-1848928
C200-RF00036-AF025756.1/1480-1816,0.850439741646,0.883396398328,AF025756.1/1480-1816,genome,RF00036,200,True,turner,C200-RF00036-AF025756.1/1480-1816
C200-RF00036-AF358145.1/1495-1831,0.871690238038,0.873668001949,AF358145.1/1495-1831,genome,RF00036,200,True,turner,C200-RF00036-AF358145.1/1495-1831
C200-RF00036-AF025758.1/1519-1855,0.834431794836,0.846236794339,AF025758.1/1519-1855,genome,RF00036,200,True,turner,C200-RF00036-AF025758.1/1519-1855
C200-RF00036-AF217173.1/1552-1888,0.872905984691,0.879712802658,AF217173.1/1552-1888,genome,RF00036,200,True,turner,C200-RF00036-AF217173.1/1552-1888
C200-RF00036-U79722.1/1497-1833,0.870506031339,0.88730098583,U79722.1/1497-1833,genome,RF00036,200,True,turner,C200-RF00036-U79722.1/1497-1833
C200-RF00036-AJ417428.1/1504-1840,0.867865789952,0.883765247433,AJ417428.1/1504-1840,genome,RF00036,200,True,turner,C200-RF00036-AJ417428.1/1504-1840
C200-RF00036-Z11530.1/7741-8077,0.86569151798,0.86720521031,Z11530.1/7741-8077,genome,RF00036,200,True,turner,C200-RF00036-Z11530.1/7741-8077
C200-RF00036-AF033819.3/7265-7601,0.808459121206,0.81831263113,AF033819.3/7265-7601,genome,RF00036,200,True,turner,C200-RF00036-AF033819.3/7265-7601
C200-RF00036-AF256208.1/7739-8078,0.856420564151,0.858686228109,AF256208.1/7739-8078,genome,RF00036,200,True,turner,C200-RF00036-AF256208.1/7739-8078
C200-RF00036-U12036.1/1506-1842,0.853432179112,0.854072585928,U12036.1/1506-1842,genome,RF00036,200,True,turner,C200-RF00036-U12036.1/1506-1842
C200-RF00038-X72685.1/1303-1435,0.473387246198,0.674693531599,X72685.1/1303-1435,genome,RF00038,200,True,turner,C200-RF00038-X72685.1/1303-1435
C200-RF00038-AJ132964.1/66-198,0.114814300963,0.162997155383,AJ132964.1/66-198,genome,RF00038,200,True,turner,C200-RF00038-AJ132964.1/66-198
C200-RF00038-X61210.1/159-288,0.264588877228,0.228152640102,X61210.1/159-288,genome,RF00038,200,True,turner,C200-RF00038-X61210.1/159-288
C200-RF00038-AJ002742.1/161-290,0.353075231889,0.355687978311,AJ002742.1/161-290,genome,RF00038,200,True,turner,C200-RF00038-AJ002742.1/161-290
C200-RF00038-AJ132962.1/66-198,0.182737628292,0.251874314388,AJ132962.1/66-198,genome,RF00038,200,True,turner,C200-RF00038-AJ132962.1/66-198
C200-RF00038-X97014.1/5134-5003,0.107479398914,0.107016337384,X97014.1/5134-5003,genome,RF00038,200,True,turner,C200-RF00038-X97014.1/5134-5003
C200-RF00038-AJ132963.1/66-198,0.182737628292,0.251874314388,AJ132963.1/66-198,genome,RF00038,200,True,turner,C200-RF00038-AJ132963.1/66-198
C200-RF00038-M24199.1/139-10,0.498052818526,0.447328885409,M24199.1/139-10,genome,RF00038,200,True,turner,C200-RF00038-M24199.1/139-10
C200-RF00038-AL591974.1/4468-4339,0.264588877228,0.228152640102,AL591974.1/4468-4339,genome,RF00038,200,True,turner,C200-RF00038-AL591974.1/4468-4339
C200-RF00038-M55160.1/297-426,0.264588877228,0.228152640102,M55160.1/297-426,genome,RF00038,200,True,turner,C200-RF00038-M55160.1/297-426
C200-RF00040-BX571868.1/245396-245719,0.630292454225,0.570863973302,BX571868.1/245396-245719,genome,RF00040,200,True,turner,C200-RF00040-BX571868.1/245396-245719
C200-RF00040-AL627269.1/129907-129570,0.31640529799,0.316282165512,AL627269.1/129907-129570,genome,RF00040,200,True,turner,C200-RF00040-AL627269.1/129907-129570
C200-RF00040-AF259268.1/36-432,0.533723215133,0.478794357102,AF259268.1/36-432,genome,RF00040,200,True,turner,C200-RF00040-AF259268.1/36-432
C200-RF00040-AF259267.1/37-374,0.735265779903,0.737190425226,AF259267.1/37-374,genome,RF00040,200,True,turner,C200-RF00040-AF259267.1/37-374
C200-RF00040-BX950851.1/2038367-2038030,0.547676647688,0.545628931471,BX950851.1/2038367-2038030,genome,RF00040,200,True,turner,C200-RF00040-BX950851.1/2038367-2038030
C200-RF00040-AF259269.1/38-376,0.795222938319,0.826461652753,AF259269.1/38-376,genome,RF00040,200,True,turner,C200-RF00040-AF259269.1/38-376
C200-RF00041-X92886.1/7332-7451,0.709699113143,0.747249553729,X92886.1/7332-7451,genome,RF00041,200,True,turner,C200-RF00041-X92886.1/7332-7451
C200-RF00041-AY302539.1/7289-7410,0.864928440037,0.817451237909,AY302539.1/7289-7410,genome,RF00041,200,True,turner,C200-RF00041-AY302539.1/7289-7410
C200-RF00041-AY302549.1/7306-7426,0.81679488161,0.941642200975,AY302549.1/7306-7426,genome,RF00041,200,True,turner,C200-RF00041-AY302549.1/7306-7426
C200-RF00041-AY302555.1/7300-7420,0.722402667966,0.791989786964,AY302555.1/7300-7420,genome,RF00041,200,True,turner,C200-RF00041-AY302555.1/7300-7420
C200-RF00041-AY302560.1/7291-7411,0.509062791407,0.636790192561,AY302560.1/7291-7411,genome,RF00041,200,True,turner,C200-RF00041-AY302560.1/7291-7411
C200-RF00041-AJ245863.1/1369-1498,0.969292073637,0.847327394753,AJ245863.1/1369-1498,genome,RF00041,200,True,turner,C200-RF00041-AJ245863.1/1369-1498
C200-RF00041-AF085363.1/7286-7411,0.818926383711,0.792439140585,AF085363.1/7286-7411,genome,RF00041,200,True,turner,C200-RF00041-AF085363.1/7286-7411
C200-RF00041-X05690.1/7275-7395,0.779250383819,0.806458472868,X05690.1/7275-7395,genome,RF00041,200,True,turner,C200-RF00041-X05690.1/7275-7395
C200-RF00041-AF039205.1/7278-7398,0.755982134406,0.888150316229,AF039205.1/7278-7398,genome,RF00041,200,True,turner,C200-RF00041-AF039205.1/7278-7398
C200-RF00041-AJ577590.1/7312-7433,0.626289441071,0.828992153192,AJ577590.1/7312-7433,genome,RF00041,200,True,turner,C200-RF00041-AJ577590.1/7312-7433
C200-RF00048-AF462418.1/4444-4504,0.612672704543,0.990915677761,AF462418.1/4444-4504,genome,RF00048,200,True,turner,C200-RF00048-AF462418.1/4444-4504
C200-RF00048-AJ276224.1/4393-4453,0.944608915018,0.937787541478,AJ276224.1/4393-4453,genome,RF00048,200,True,turner,C200-RF00048-AJ276224.1/4393-4453
C200-RF00048-D00538.1/4407-4467,0.884704903758,0.919187345196,D00538.1/4407-4467,genome,RF00048,200,True,turner,C200-RF00048-D00538.1/4407-4467
