instance-name,bp-accuracy-mfe,bp-accuracy-constraint,seq-id,dataset,fam-id,context-len,Asymmetric,energy-param,instance-name
C200-RF00023-S67602.1/1-410,0.456465663132,0.478381517363,S67602.1/1-410,genome,RF00023,200,True,turner,C200-RF00023-S67602.1/1-410
C200-RF00023-BA000008.3/138204-137780,0.200311497847,0.288661497777,BA000008.3/138204-137780,genome,RF00023,200,True,turner,C200-RF00023-BA000008.3/138204-137780
C200-RF00023-AAVS01000044.1/16524-16879,0.178509069672,0.121202543447,AAVS01000044.1/16524-16879,genome,RF00023,200,True,turner,C200-RF00023-AAVS01000044.1/16524-16879
C200-RF00023-BX571965.1/3041943-3042311,0.519602548341,0.399562820353,BX571965.1/3041943-3042311,genome,RF00023,200,True,turner,C200-RF00023-BX571965.1/3041943-3042311
C200-RF00023-AAJR01000033.1/11579-11927,0.163153189224,0.111360475463,AAJR01000033.1/11579-11927,genome,RF00023,200,True,turner,C200-RF00023-AAJR01000033.1/11579-11927
C200-RF00023-AE016827.1/1128104-1128469,0.204799099073,0.205291455563,AE016827.1/1128104-1128469,genome,RF00023,200,True,turner,C200-RF00023-AE016827.1/1128104-1128469
C200-RF00023-Z67753.1/95843-96212,0.37111268891,0.55550634677,Z67753.1/95843-96212,genome,RF00023,200,True,turner,C200-RF00023-Z67753.1/95843-96212
C200-RF00023-CP000058.1/4804338-4804724,0.329205738752,0.201618440448,CP000058.1/4804338-4804724,genome,RF00023,200,True,turner,C200-RF00023-CP000058.1/4804338-4804724
C200-RF00023-CP000016.1/678009-678399,0.232355816073,0.142537190896,CP000016.1/678009-678399,genome,RF00023,200,True,turner,C200-RF00023-CP000016.1/678009-678399
C200-RF00023-CP000033.3/728512-728879,0.438593129288,0.56094218967,CP000033.3/728512-728879,genome,RF00023,200,True,turner,C200-RF00023-CP000033.3/728512-728879
C200-RF00023-BA000022.2/3317157-3316760,0.136722502332,0.118690208163,BA000022.2/3317157-3316760,genome,RF00023,200,True,turner,C200-RF00023-BA000022.2/3317157-3316760
C200-RF00023-CP000713.1/2029442-2029798,0.298450356186,0.247851293119,CP000713.1/2029442-2029798,genome,RF00023,200,True,turner,C200-RF00023-CP000713.1/2029442-2029798
C200-RF00023-CP000284.1/1198789-1199148,0.492359307829,0.359204532776,CP000284.1/1198789-1199148,genome,RF00023,200,True,turner,C200-RF00023-CP000284.1/1198789-1199148
C200-RF00023-AP008232.1/3071644-3072026,0.334720758181,0.306848983666,AP008232.1/3071644-3072026,genome,RF00023,200,True,turner,C200-RF00023-AP008232.1/3071644-3072026
C200-RF00023-BX571661.1/326505-326872,0.142270258286,0.0732955958224,BX571661.1/326505-326872,genome,RF00023,200,True,turner,C200-RF00023-BX571661.1/326505-326872
C200-RF00023-CP000026.1/2661750-2662111,0.340771769236,0.275738314836,CP000026.1/2661750-2662111,genome,RF00023,200,True,turner,C200-RF00023-CP000026.1/2661750-2662111
C200-RF00023-CP000521.1/1055795-1056153,0.415845089322,0.388876068916,CP000521.1/1055795-1056153,genome,RF00023,200,True,turner,C200-RF00023-CP000521.1/1055795-1056153
C200-RF00023-AE016828.2/1259243-1259601,0.616827403007,0.540407965529,AE016828.2/1259243-1259601,genome,RF00023,200,True,turner,C200-RF00023-AE016828.2/1259243-1259601
C200-RF00023-CP000387.1/805658-806005,0.203280793745,0.137826425473,CP000387.1/805658-806005,genome,RF00023,200,True,turner,C200-RF00023-CP000387.1/805658-806005
C200-RF00023-AAAM03000014.1/13286-13639,0.177353782959,0.123099382442,AAAM03000014.1/13286-13639,genome,RF00023,200,True,turner,C200-RF00023-AAAM03000014.1/13286-13639
C200-RF00023-AB003477.1/1390-1782,0.3536441886,0.294456266914,AB003477.1/1390-1782,genome,RF00023,200,True,turner,C200-RF00023-AB003477.1/1390-1782
C200-RF00023-CP000076.1/938686-938294,0.376091748647,0.303274396648,CP000076.1/938686-938294,genome,RF00023,200,True,turner,C200-RF00023-CP000076.1/938686-938294
C200-RF00023-BA000030.3/6202757-6203144,0.33758097669,0.320585169073,BA000030.3/6202757-6203144,genome,RF00023,200,True,turner,C200-RF00023-BA000030.3/6202757-6203144
C200-RF00023-BX842656.1/106010-105666,0.397901991907,0.249957362554,BX842656.1/106010-105666,genome,RF00023,200,True,turner,C200-RF00023-BX842656.1/106010-105666
C200-RF00023-AY911524.1/1-315,0.670297230206,0.702480928948,AY911524.1/1-315,genome,RF00023,200,True,turner,C200-RF00023-AY911524.1/1-315
C200-RF00023-CU207211.1/2558343-2558705,0.304035886956,0.299117366201,CU207211.1/2558343-2558705,genome,RF00023,200,True,turner,C200-RF00023-CU207211.1/2558343-2558705
C200-RF00023-BA000031.2/674768-674402,0.317318078186,0.263797153255,BA000031.2/674768-674402,genome,RF00023,200,True,turner,C200-RF00023-BA000031.2/674768-674402
C200-RF00023-BX950851.1/927307-926946,0.33989262533,0.278648551702,BX950851.1/927307-926946,genome,RF00023,200,True,turner,C200-RF00023-BX950851.1/927307-926946
C200-RF00023-AE006470.1/660570-660972,0.226591062198,0.1093059294,AE006470.1/660570-660972,genome,RF00023,200,True,turner,C200-RF00023-AE006470.1/660570-660972
C200-RF00023-AE017333.1/3469521-3469167,0.586880524934,0.700128596573,AE017333.1/3469521-3469167,genome,RF00023,200,True,turner,C200-RF00023-AE017333.1/3469521-3469167
C200-RF00023-AF222894.1/688884-688473,0.197988646443,0.180230255449,AF222894.1/688884-688473,genome,RF00023,200,True,turner,C200-RF00023-AF222894.1/688884-688473
C200-RF00023-AP006628.2/762465-762886,0.513842710902,0.386885851386,AP006628.2/762465-762886,genome,RF00023,200,True,turner,C200-RF00023-AP006628.2/762465-762886
C200-RF00023-AY846304.1/1-321,0.498764398122,0.5434958052,AY846304.1/1-321,genome,RF00023,200,True,turner,C200-RF00023-AY846304.1/1-321
C200-RF00023-ABCH01000022.1/38108-38473,0.331657396062,0.319318134477,ABCH01000022.1/38108-38473,genome,RF00023,200,True,turner,C200-RF00023-ABCH01000022.1/38108-38473
C200-RF00023-CP000416.1/1289472-1289842,0.648659610779,0.789706405304,CP000416.1/1289472-1289842,genome,RF00023,200,True,turner,C200-RF00023-CP000416.1/1289472-1289842
C200-RF00023-AAAK03000041.1/17554-17919,0.798456162971,0.770638676699,AAAK03000041.1/17554-17919,genome,RF00023,200,True,turner,C200-RF00023-AAAK03000041.1/17554-17919
C200-RF00023-ABDY01000007.1/7483-7842,0.47534268295,0.404537334669,ABDY01000007.1/7483-7842,genome,RF00023,200,True,turner,C200-RF00023-ABDY01000007.1/7483-7842
C200-RF00023-CP000712.1/5154291-5154681,0.119769905466,0.0422732374161,CP000712.1/5154291-5154681,genome,RF00023,200,True,turner,C200-RF00023-CP000712.1/5154291-5154681
C200-RF00023-BA000004.3/3652617-3652258,0.216164739666,0.208611044678,BA000004.3/3652617-3652258,genome,RF00023,200,True,turner,C200-RF00023-BA000004.3/3652617-3652258
C200-RF00023-BX571856.1/883681-884041,0.450051305435,0.411358953986,BX571856.1/883681-884041,genome,RF00023,200,True,turner,C200-RF00023-BX571856.1/883681-884041
C200-RF00023-AAWL01000007.1/971-1319,0.525980672137,0.673227322826,AAWL01000007.1/971-1319,genome,RF00023,200,True,turner,C200-RF00023-AAWL01000007.1/971-1319
C200-RF00023-AE008923.1/1746069-1745674,0.336115893943,0.256029214918,AE008923.1/1746069-1745674,genome,RF00023,200,True,turner,C200-RF00023-AE008923.1/1746069-1745674
C200-RF00023-CP000480.1/2169257-2169624,0.28404743786,0.172384761483,CP000480.1/2169257-2169624,genome,RF00023,200,True,turner,C200-RF00023-CP000480.1/2169257-2169624
C200-RF00023-AADP01000001.1/1018447-1018811,0.205843363665,0.108019716682,AADP01000001.1/1018447-1018811,genome,RF00023,200,True,turner,C200-RF00023-AADP01000001.1/1018447-1018811
C200-RF00023-BA000021.3/122211-122574,0.527987898867,0.648235632346,BA000021.3/122211-122574,genome,RF00023,200,True,turner,C200-RF00023-BA000021.3/122211-122574
C200-RF00023-AP006841.1/1350686-1351082,0.253285569882,0.288475591556,AP006841.1/1350686-1351082,genome,RF00023,200,True,turner,C200-RF00023-AP006841.1/1350686-1351082
C200-RF00023-AE017263.1/242816-242410,0.533155244123,0.332762434802,AE017263.1/242816-242410,genome,RF00023,200,True,turner,C200-RF00023-AE017263.1/242816-242410
C200-RF00023-CP000478.1/4622994-4623346,0.283334201328,0.2107062909,CP000478.1/4622994-4623346,genome,RF00023,200,True,turner,C200-RF00023-CP000478.1/4622994-4623346
C200-RF00023-CP000920.1/802094-802440,0.255866540319,0.0954583509892,CP000920.1/802094-802440,genome,RF00023,200,True,turner,C200-RF00023-CP000920.1/802094-802440
C200-RF00023-AF242564.1/6545-6928,0.246979257279,0.20376610317,AF242564.1/6545-6928,genome,RF00023,200,True,turner,C200-RF00023-AF242564.1/6545-6928
C200-RF00036-U69587.1/7276-7615,0.859415983071,0.865349414495,U69587.1/7276-7615,genome,RF00036,200,True,turner,C200-RF00036-U69587.1/7276-7615
C200-RF00036-L31963.1/7756-8092,0.872964883744,0.875005323403,L31963.1/7756-8092,genome,RF00036,200,True,turner,C200-RF00036-L31963.1/7756-8092
C200-RF00036-AF491741.1/1986-2322,0.858504344908,0.891050113328,AF491741.1/1986-2322,genome,RF00036,200,True,turner,C200-RF00036-AF491741.1/1986-2322
C200-RF00036-U69585.1/7273-7612,0.817900474286,0.824663603202,U69585.1/7273-7612,genome,RF00036,200,True,turner,C200-RF00036-U69585.1/7273-7612
C200-RF00036-AF038399.1/7833-8169,0.882775616673,0.884099101399,AF038399.1/7833-8169,genome,RF00036,200,True,turner,C200-RF00036-AF038399.1/7833-8169
C200-RF00036-AF025751.1/1486-1822,0.885027867111,0.886358781613,AF025751.1/1486-1822,genome,RF00036,200,True,turner,C200-RF00036-AF025751.1/1486-1822
C200-RF00036-L08657.1/1501-1840,0.870249006471,0.892236915015,L08657.1/1501-1840,genome,RF00036,200,True,turner,C200-RF00036-L08657.1/1501-1840
C200-RF00036-AF321145.1/1327-1663,0.856340382982,0.844851120875,AF321145.1/1327-1663,genome,RF00036,200,True,turner,C200-RF00036-AF321145.1/1327-1663
C200-RF00036-AJ286340.1/1537-1876,0.811399754936,0.840124288637,AJ286340.1/1537-1876,genome,RF00036,200,True,turner,C200-RF00036-AJ286340.1/1537-1876
C200-RF00036-AJ418481.1/1498-1834,0.864140309612,0.86973595769,AJ418481.1/1498-1834,genome,RF00036,200,True,turner,C200-RF00036-AJ418481.1/1498-1834
C200-RF00036-AF358141.1/1495-1831,0.865691124134,0.867447106952,AF358141.1/1495-1831,genome,RF00036,200,True,turner,C200-RF00036-AF358141.1/1495-1831
C200-RF00036-U36876.1/1534-1870,0.861363786641,0.863102384889,U36876.1/1534-1870,genome,RF00036,200,True,turner,C200-RF00036-U36876.1/1534-1870
C200-RF00036-AJ417426.1/1480-1816,0.861409915777,0.878200906314,AJ417426.1/1480-1816,genome,RF00036,200,True,turner,C200-RF00036-AJ417426.1/1480-1816
C200-RF00036-AF033819.3/7265-7601,0.808459121206,0.81831263113,AF033819.3/7265-7601,genome,RF00036,200,True,turner,C200-RF00036-AF033819.3/7265-7601
